Site,Year,Rain,Slope,Duration,Cattle,CattleDays,Sstock,SStDays,LSU,LSU days,Treatment,Seasons,Site history,Wattle,Fire,DPM,Biomass,Bare,BareLog,Grass,Forbs,Infiltration,BulkDens,SOM,SoilN,SoilP,SoilK,SoilCa,SoilS
2,2014,64,7.4,23,250,5750,286,6578,248.6,5718.3,kraal,3,No wattle or fire,0,0,8.3,3491.996851,7,2.07944154,88,5,0.00122817,1.4,6.96704071,0.0875,0.034985592,0.960403463,0.185368401,0.020001351
2,2014,64,7.4,0,0,0,0,0,0,0,control,5,No wattle or fire,0,0,6.5,2742.89205,10,2.39789527,87,3,0.00085613,1.4,5.63429279,0.07,0.032116526,0.945972113,0.077817562,0.014929375
3,2014,69,2.5,21,250,5250,286,6006,248.6,5221,kraal,3,Wattle no fire,1,0,10.8,4408.11788,0,0,100,0,0.002118025,1.4,9.54492656,0.1425,0.063002792,1.83419196,1.16790663,0.035227991
3,2014,69,2.5,0,0,0,0,0,0,0,control,5,Wattle no fire,1,0,2.6,625.1405022,34,3.55534806,56,0,0.002007226,1.4,6.52749282,0.0975,0.034920575,0.809918789,0.001361829,0.031952786
4,2014,31,3.7,24,205,4920,162,3888,191.5,4597,kraal,3,No wattle or fire,0,0,3.7,1328.196798,17,2.89037176,80,4,0.001495187,1.4,6.5816532,0.085,0.031748099,0.947160352,0.066186408,0.028866839
4,2014,31,3.7,0,0,0,0,0,0,0,control,5,No wattle or fire,0,0,4.5,1775.183976,5,1.79175947,99,1,0.00147287,1.4,6.46483931,0.0825,0.031603062,0.812927716,0.055363296,0.022869078
5,2014,0,0.1,15,207,3105,173,2595,195,2925.2,kraal,3,Wattle plus fire,1,1,2.5,554.373756,33,3.52636052,83,17,0.000403919,1.4,7.51159834,0.1075,0.033345173,0.947313673,0.072756931,0.027544289
5,2014,0,0.1,0,0,0,0,0,0,0,control,5,Wattle plus fire,1,1,8.8,3685.243432,3,1.38629436,97,0,0.000997956,1.4,7.58078724,0.1,0.033418525,0.934703011,0.084006464,0.02651711
6,2015,0,0.1,16,207,3312,173,2768,195,3120.2,kraal,2,Wattle plus fire,1,1,2.4,482.176945,3,1.38629436,83,14,0.000230061,1.4,6.70215247,0.085,0.029847614,0.963776528,0.053397117,0.024658928
6,2015,0,0.1,0,0,0,0,0,0,0,control,5,Wattle plus fire,1,1,4.4,1721.615994,10,2.39789527,90,0,0.001428179,1.4,7.55729739,0.1,0.031803113,0.940088415,0.076573144,0.021806631
7,2015,32,0.1,19,185,3515,186,3534,179.6,3412.8,kraal,2,Wattle plus fire,1,1,2.7,694.5589399,8,2.19722458,76,16,0.001220214,1.4,9.76074108,0.1275,0.04761548,0.995226521,0.097097734,0.036482517
7,2015,32,0.1,0,0,0,0,0,0,0,control,5,Wattle plus fire,1,1,7.7,3252.24549,5,1.79175947,94,1,0.001886749,1.4,10.7527815,0.1375,0.0354107,0.790312851,0.082171363,0.028265079
8,2015,2,0,13,182,2366,169,2197,174.3,2266.3,kraal,2,No wattle or fire,0,0,2.5,554.373756,8,2.19722458,81,11,0.002162056,1.4,15.1357661,0.155,0.040201922,0.688680117,0.208630708,0.035999787
8,2015,2,0,0,0,0,0,0,0,0,control,5,No wattle or fire,0,0,11.7,4711.389382,0,0,100,0,0.002044179,1.4,15.3883186,0.16,0.035535732,0.657306784,0.212480106,0.026977798
9,2015,2,0,21,170,3570,189,3969,168.1,3530.7,kraal,2,No wattle or fire,0,0,2.4,482.176945,7,2.07944154,93,4,0.000782624,1.4,14.1326528,0.1625,0.041864013,0.64711093,0.197513913,0.035058573
9,2015,2,0,0,0,0,0,0,0,0,control,5,No wattle or fire,0,0,8,3373.245302,0,0,100,0,0.000782624,1.4,15.9297972,0.1575,0.038318108,0.571581116,0.211268873,0.027167363
11,2016,26,5.5,15,150,2250,115,1725,139.6,2093.3,kraal,1,Wattle no fire,1,0,2.9,829.6413187,7,2.07944154,93,0,0.000962556,1.4,13.8550104,0.1575,0.056093095,1.93234593,0.804253494,0.03148827
11,2016,26,5.5,0,0,0,0,0,0,0,control,5,Wattle no fire,1,0,0,0,46,3.8501476,37,17,0.000841645,1.4,11.2915239,0.1475,0.040960762,1.70159714,0.29078228,0.022096389
12,2016,1,1,14,123,1722,189,2646,130.5,1827.4,kraal,3,Wattle plus fire,1,1,2,177.122651,20,3.04452244,80,0,0.000583184,1.4,6.77415172,0.1,0.032908395,0.860591417,0.042179109,0.025860244
12,2016,1,1,0,0,0,0,0,0,0,control,5,Wattle plus fire,1,1,7.3,3087.183751,7,2.07944154,78,15,0.002194855,1.4,4.95855928,0.1025,0.033331836,0.868372464,0.042179109,0.020536983
13,2016,47,7.7,16,150,2400,148,2368,145.2,2322.6,kraal,1,Wattle no fire,1,0,1.3,0,11,2.48490665,80,9,0.000962556,1.4,13.6535197,0.143333333,0.028212197,1.29824654,0.033805011,0.019256315
13,2016,47,7.7,0,0,0,0,0,0,0,control,5,Wattle no fire,1,0,0,0,48,3.8918203,27,15,0.000689106,1.4,14.0295232,0.166666667,0.030501114,1.26815727,0.037385614,0.025893307
14,2016,24,25.9,20,150,3000,148,2960,145.2,2903.2,kraal,1,Wattle no fire,1,0,1.2,0,39,3.68887945,46,15,0.001152694,1.4,10.5221009,0.11,0.051921944,1.94866318,0.865142767,0.030609287
14,2016,24,25.9,0,0,0,0,0,0,0,control,5,Wattle no fire,1,0,0,0,95,4.56434819,0,5,0.001018024,1.4,19.3666447,0.18,0.02695132,1.3406015,0.018088297,0.015348917
